time,x,y,z
820.0,3278328.1909982194,-5094379.684182367,-3120826.890271362
840.0,3385039.7883203006,-4996041.4162475355,-3173010.4828410028
860.0,3490049.652788309,-4895189.155382358,-3223597.2724023233
880.0,3593305.750049352,-4791877.607105184,-3272564.809830851
900.0,3694760.475254299,-4686162.977220253,-3319891.4655041713
920.0,3794364.676332389,-4578102.83858703,-3365556.381176159
940.0,3892072.9188938523,-4467754.00284786,-3409539.444404175
960.0,3987839.429809685,-4355176.567740992,-3451820.9225965333
980.0,4081617.4928510245,-4240427.36798541,-3492381.4541418375
1000.0,4173366.8399786865,-4123570.2492467156,-3531205.452611776
1020.0,4263043.501218104,-4004665.656502198,-3568276.9467544174
1040.0,4350606.721246829,-3883775.543812214,-3603580.1317475415
1060.0,4436017.305874406,-3760963.6941523324,-3637098.238031991
1080.0,4519237.1246875115,-3636294.5138815288,-3668820.4045974966
1100.0,4600227.560711557,-3509831.2845678222,-3698733.0297225267
1120.0,4678954.066460817,-3381640.6696687313,-3726825.617660809
1140.0,4755381.28193142,-3251788.3389687547,-3753086.5345365526
1160.0,4829475.732355181,-3120341.5460273647,-3777506.4000548595
1180.0,4901205.374444186,-2987365.842472131,-3800077.203263386
1200.0,4970539.806143512,-2852930.9182479414,-3820790.4810526804
1220.0,5037447.92081915,-2717102.7499408326,-3839639.7967347573
1240.0,5101904.520230518,-2579952.8129538028,-3856618.101263719
1260.0,5163880.880475684,-2441548.3561106455,-3871722.5897842515
1280.0,5223350.91200585,-2301958.271518368,-3884948.477898617
1300.0,5280291.645017735,-2161253.8229050077,-3896292.1302794036
1320.0,5334679.4586636005,-2019504.731711946,-3905752.619826961
1340.0,5386493.444808922,-1876781.5284990042,-3913329.160682052
1360.0,5435712.05649732,-1733153.18249751,-3919019.6408009524
1380.0,5482317.870524298,-1588692.2966396182,-3922826.027822426
1400.0,5526292.422543099,-1443468.8713768325,-3924750.412888892
1420.0,5567620.068727367,-1297553.7257080881,-3924794.550589651
1440.0,5606285.574627823,-1151018.4021946243,-3922961.5980802416
1460.0,5642276.336233495,-1003933.6548923517,-3919256.789599698
1480.0,5675577.30859518,-856370.5827820996,-3913685.278605327
1500.0,5706180.919458787,-708400.1211038094,-3906252.574558657
1520.0,5734074.362243451,-560093.6142839354,-3896965.00016767
1540.0,5759252.207878681,-411521.83336751076,-3885831.749611148
1560.0,5781706.084611309,-262754.6923335804,-3872860.6753423195
1580.0,5801431.216657869,-113864.65984891469,-3858060.8057690025
1600.0,5818422.115005378,35079.40151190982,-3841443.564415913
1620.0,5832675.744622669,184006.9161817383,-3823018.4853051873
1640.0,5844190.849019497,332848.8052975919,-3802799.420362179
1660.0,5852965.517108943,481534.3693263123,-3780796.858613271
1680.0,5859002.31048458,629994.4730453985,-3757025.122297429
1700.0,5862302.600453676,778160.379075738,-3731499.608393035
1720.0,5862869.333449916,925964.1209918385,-3704232.789472893
1740.0,5860706.241535247,1073335.1174251095,-3675241.705227808
1760.0,5855819.546439429,1220208.7351228923,-3644543.0805057473
1780.0,5848216.296151135,1366516.3231439411,-3612153.871285176
1800.0,5837904.475682945,1512190.682296313,-3578091.0812526145
1820.0,5824893.239782241,1657165.956549171,-3542373.628461051
1840.0,5809192.7835904835,1801374.7284144594,-3505021.314429276
1860.0,5790814.5399659155,1944755.139161215,-3466053.451017458
1880.0,5769772.156721697,2087240.2415918484,-3425489.7853146563
1900.0,5746077.787286443,2228765.4164662394,-3383353.2973688967
1920.0,5719747.958334602,2369270.1623165314,-3339664.9362251335
1940.0,5690798.007564227,2508687.664871033,-3294445.3502999023
1960.0,5659245.80159764,2646958.5983476033,-3247720.088102943
